#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Pyropia yezoensis	2788	PRJNA589917	589917	Other	Other	107.591	64.8454	GCA_009829735.1	chromosome 1:CM020618.1; chromosome 2:CM020619.1; chromosome 3:CM020620.1	WMLA01	28	-	-	2020/01/03	2020/01/06	Chromosome	Ocean University	SAMN13316713
Emiliania huxleyi CCMP1516	280463	PRJNA77753	77753	Protists	Other Protists	167.676	64.5	GCA_000372725.1	-	AHAL01	7795	38549	38554	2013/04/19	2014/08/01	Scaffold	JGI	SAMN02744062
Arabidopsis thaliana	3702	PRJNA10719	10719	Plants	Land Plants	119.669	36.0529	GCA_000001735.2	chromosome 1:NC_003070.9/CP002684.1; chromosome 2:NC_003071.7/CP002685.1; chromosome 3:NC_003074.8/CP002686.1; chromosome 4:NC_003075.7/CP002687.1; chromosome 5:NC_003076.8/CP002688.1; mitochondrion MT:NC_037304.1/BK010421.1; chloroplast Pltd:NC_000932.1/AP000423.1	-	7	38311	48265	2001/08/13	2019/02/14	Chromosome	The Arabidopsis Information Resource (TAIR)	SAMN03081427
Glycine max	3847	PRJNA475162	475162	Plants	Land Plants	1011.38	35.036	GCA_003349995.2	chromosome 1:CM010409.2; chromosome 2:CM010410.2; chromosome 3:CM010411.2; chromosome 4:CM010412.2; chromosome 5:CM010413.2; chromosome 6:CM010414.2; chromosome 7:CM010415.2; chromosome 8:CM010416.2; chromosome 9:CM010417.2; chromosome 10:CM010418.2; chromosome 11:CM010419.2; chromosome 12:CM010420.2; chromosome 13:CM010421.2; chromosome 14:CM010422.2; chromosome 15:CM010423.2; chromosome 16:CM010424.2; chromosome 17:CM010425.2; chromosome 18:CM010426.2; chromosome 19:CM010427.2; chromosome 20:CM010428.2; chloroplast Pltd:CM010429.1; mitochondrion MT:CM021415.1	QKRT02	45	-	-	2018/07/31	2020/02/21	Chromosome	Institute of Genetics and Developmental Biology , Chinese Academy of Science	SAMN09379531
Medicago truncatula	3880	PRJNA702529	702529	Plants	Land Plants	430.008	33.4462	GCA_003473485.2	chromosome 1:NC_053042.1/CM010648.1; chromosome 2:NC_053043.1/CM010649.1; chromosome 3:NC_053044.1/CM010650.1; chromosome 4:NC_053045.1/CM010651.1; chromosome 5:NC_053046.1/CM010652.1; chromosome 6:NC_053047.1/CM010653.1; chromosome 7:NC_053048.1/CM010654.1; chromosome 8:NC_053049.1/CM010655.1; chloroplast Pltd:NC_003119.8/; mitochondrion MT:NC_029641.1/	PSQE01	42	39589	42683	2018/09/06	2018/09/12	Chromosome	NCBI	SAMN08400029
Solanum lycopersicum	4081	PRJNA119	119	Plants	Land Plants	828.349	35.6991	GCA_000188115.3	chromosome 1:NC_015438.3/CM001064.3; chromosome 2:NC_015439.3/CM001065.3; chromosome 3:NC_015440.3/CM001066.3; chromosome 4:NC_015441.3/CM001067.3; chromosome 5:NC_015442.3/CM001068.3; chromosome 6:NC_015443.3/CM001069.3; chromosome 7:NC_015444.3/CM001070.3; chromosome 8:NC_015445.3/CM001071.3; chromosome 9:NC_015446.3/CM001072.3; chromosome 10:NC_015447.3/CM001073.3; chromosome 11:NC_015448.3/CM001074.3; chromosome 12:NC_015449.3/CM001075.3; mitochondrion MT:NC_035963.1/; chloroplast Pltd:NC_007898.3/	AEKE03	3150	31275	37660	2010/12/10	2018/04/18	Chromosome	Solanaceae Genomics Project	SAMN02981290
Hordeum vulgare subsp. vulgare	112509	PRJEB39669	650115	Plants	Land Plants	4139.83	44.4537	GCA_903994145.1	chromosome 1H:LR865395.1; chromosome 2H:LR865396.1; chromosome 3H:LR865397.1; chromosome 4H:LR865398.1; chromosome 5H:LR865399.1; chromosome 6H:LR865400.1; chromosome 7H:LR865401.1	CAJEWJ01	883	-	-	2020/08/06	2020/08/06	Chromosome	Leibniz Institute of Plant Genetics and Crop Plant Research	SAMEA7109133
Oryza sativa Japonica Group	39947	PRJNA12269	12269	Plants	Land Plants	374.423	43.5769	GCA_001433935.1	chromosome 1:NC_029256.1/AP014957.1; chromosome 2:NC_029257.1/AP014958.1; chromosome 3:NC_029258.1/AP014959.1; chromosome 4:NC_029259.1/AP014960.1; chromosome 5:NC_029260.1/AP014961.1; chromosome 6:NC_029261.1/AP014962.1; chromosome 7:NC_029262.1/AP014963.1; chromosome 8:NC_029263.1/AP014964.1; chromosome 9:NC_029264.1/AP014965.1; chromosome 10:NC_029265.1/AP014966.1; chromosome 11:NC_029266.1/AP014967.1; chromosome 12:NC_029267.1/AP014968.1; plastid Pltd:NC_001320.1/; mitochondrion MT:NC_011033.1/	-	58	35223	42578	2015/10/10	2018/08/07	Chromosome	National Institute of Agrobiological Sciences, Japan	SAMD00000397
Triticum aestivum	4565	PRJNA392179	392179	Plants	Land Plants	15418.8	46.0967	GCA_002220415.3	chromosome 1A:CM022211.1; chromosome 1B:CM022212.1; chromosome 1D:CM022213.1; chromosome 2A:CM022214.1; chromosome 2B:CM022215.1; chromosome 2D:CM022216.1; chromosome 3A:CM022217.1; chromosome 3B:CM022218.1; chromosome 3D:CM022219.1; chromosome 4A:CM022220.1; chromosome 4B:CM022221.1; chromosome 4D:CM022222.1; chromosome 5A:CM022223.1; chromosome 5B:CM022224.1; chromosome 5D:CM022225.1; chromosome 6A:CM022226.1; chromosome 6B:CM022227.1; chromosome 6D:CM022228.1; chromosome 7A:CM022229.1; chromosome 7B:CM022230.1; chromosome 7D:CM022231.1; chloroplast Pltd:CM022232.1	NMPL03	70316	112807	131402	2017/07/13	2020/08/20	Chromosome	Johns Hopkins University	SAMN07284949
Zea mays	4577	PRJEB32225	600450	Plants	Land Plants	2182.79	46.7831	GCA_902167145.1	chromosome 1:NC_050096.1/LR618874.1; chromosome 2:NC_050097.1/LR618875.1; chromosome 3:NC_050098.1/LR618876.1; chromosome 4:NC_050099.1/LR618877.1; chromosome 5:NC_050100.1/LR618878.1; chromosome 6:NC_050101.1/LR618879.1; chromosome 7:NC_050102.1/LR618880.1; chromosome 8:NC_050103.1/LR618881.1; chromosome 9:NC_050104.1/LR618882.1; chromosome 10:NC_050105.1/LR618883.1; mitochondrion MT:NC_007982.1/; chloroplast Pltd:NC_001666.2/	CABHLF01	687	49897	57578	2020/01/10	2020/01/13	Chromosome	MaizeGDB	SAMEA5569141
