#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession	Reference	FTP Path	Pubmed ID	Strain
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	192222	PRJNA8	8	Proteobacteria	delta/epsilon subdivisions	1.64148	30.5	chromosome:NC_002163.1/AL111168.1	-	1	1668	1572	2001/09/27	2016/08/03	Complete Genome	Sanger Institute	SAMEA1705929	GCA_000009085.1	REFR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/085/GCA_000009085.1_ASM908v1	10688204,17565669	NCTC 11168
Pseudomonas fluorescens	294	PRJEB22404	401622	Proteobacteria	Gammaproteobacteria	6.51155	60	chromosome I:NZ_LT907842.1/LT907842.1	-	1	5966	5801	2017/09/06	2020/12/25	Chromosome	DOE - JOINT GENOME INSTITUTE	SAMN04488487	GCA_900215245.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/215/245/GCA_900215245.1_IMG-taxon_2617270901_annotated_assembly	-	ATCC 13525
Xanthomonas campestris pv. raphani	359385	PRJNA641237	641237	Proteobacteria	Gammaproteobacteria	4.94204	65.3	chromosome:NZ_CP058243.1/CP058243.1	-	1	4265	4041	2020/07/04	2020/08/01	Complete Genome	National Agriculture and Food Research Organization (NARO)	SAMN15347475	GCA_013388375.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/388/375/GCA_013388375.1_ASM1338837v1	-	MAFF106181
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	99287	PRJNA241	241	Proteobacteria	Gammaproteobacteria	4.95138	52.2171	chromosome:NC_003197.2/AE006468.2; plasmid pSLT:NC_003277.2/AE006471.2	-	2	4714	4548	2001/10/26	2018/07/24	Complete Genome	Washington University Genome Sequencing Center	SAMN02604315	GCA_000006945.2	REFR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/945/GCA_000006945.2_ASM694v2	11677609	LT2
Yersinia pestis	632	PRJNA231221	231221	Proteobacteria	Gammaproteobacteria	4.93096	47.6924	chromosome:NZ_CP033699.1/CP033699.1; plasmid unnamed1:NZ_CP033697.1/CP033697.1; plasmid unnamed2:NZ_CP033698.1/CP033698.1; plasmid unnamed3:NZ_CP033700.1/CP033700.1	-	4	4455	4113	2018/11/20	2020/08/01	Complete Genome	US Food and Drug Administration 	SAMN10228581	GCA_003798225.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/225/GCA_003798225.1_ASM379822v1	-	FDAARGOS_601
Staphylococcus aureus subsp. aureus NCTC 8325	93061	PRJNA237	237	Terrabacteria group	Firmicutes	2.82136	32.9	chromosome:NC_007795.1/CP000253.1	-	1	2872	2767	2006/02/13	2016/08/03	Complete Genome	University of Oklahoma Health Sciences Center	SAMN02604235	GCA_000013425.1	REFR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/425/GCA_000013425.1_ASM1342v1	-	NCTC 8325
Staphylococcus epidermidis	1282	PRJNA515334	515334	Terrabacteria group	Firmicutes	2.49106	32.1745	chromosome:NZ_CP035288.1/CP035288.1; plasmid unnamed1:NZ_CP035289.1/CP035289.1; plasmid unnamed2:NZ_CP035290.1/CP035290.1	-	3	2365	2234	2019/06/06	2020/04/03	Complete Genome	Zhejiang Tianke High Technology Development Co.Ltd.	SAMN10738425	GCA_006094375.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/094/375/GCA_006094375.1_ASM609437v1	-	ATCC 14990
Lactococcus lactis	1358	PRJNA678120	678120	Terrabacteria group	Firmicutes	2.50126	34.9692	chromosome:NZ_CP066300.1/CP066300.1; plasmid unnamed1:NZ_CP066301.1/CP066301.1	-	2	2459	2298	2020/12/27	2021/01/18	Chromosome	World Institute of Kimchi	SAMN16788728	GCA_016406265.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/406/265/GCA_016406265.1_ASM1640626v1	-	WiKim0098
Bacillus cereus B4264	405532	PRJNA17731	17731	Terrabacteria group	Firmicutes	5.41904	35.3	chromosome:NC_011725.1/CP001176.1	-	1	5476	5237	2008/12/17	2020/12/25	Complete Genome	TIGR	SAMN02604059	GCA_000021205.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/205/GCA_000021205.1_ASM2120v1	-	B4264
Clostridium perfringens ATCC 13124	195103	PRJNA304	304	Terrabacteria group	Firmicutes	3.25668	28.4	chromosome:NC_008261.1/CP000246.1	-	1	2969	2818	2006/07/25	2021/03/18	Complete Genome	TIGR	SAMN02604008	GCA_000013285.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/285/GCA_000013285.1_ASM1328v1	16825665	ATCC 13124
