#Organism/Name	Kingdom	Group	SubGroup	Plasmid Name	RefSeq	INSDC	Size (Kb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB1	NC_009926.1	CP000838	374.161	47.3483	288	-	-	-	321	33
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB2	NC_009927.1	CP000839	356.087	45.3367	315	-	-	-	343	28
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB3	NC_009928.1	CP000840	273.121	45.1902	243	-	-	-	285	42
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB4	NC_009929.1	CP000841	226.68	45.877	206	-	1	-	225	18
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB5	NC_009930.1	CP000842	177.162	44.6755	173	-	-	-	179	6
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB6	NC_009931.1	CP000843	172.728	47.1267	145	-	-	-	166	21
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB7	NC_009932.1	CP000844	155.11	45.5909	123	-	-	-	132	9
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB8	NC_009933.1	CP000845	120.693	45.4185	97	-	-	-	103	6
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB9	NC_009934.1	CP000846	2.133	42.5223	1	-	-	-	2	1
Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	pAAJCM20276_1	NZ_AP023327.1	AP023327	84.396	53.1009	57	3	3	-	88	25
Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	pAAJCM20276_2	NZ_AP023328.1	AP023328	92.082	58.1808	87	-	-	-	106	19
Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	pAAJCM20276_3	NZ_AP023329.1	AP023329	45.372	57.0065	37	-	-	-	45	8
Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	pAAJCM20276_4	NZ_AP023330.1	AP023330	2.685	59.9628	2	-	-	-	4	2
Acetobacter aceti NBRC 14818	Bacteria	Proteobacteria	Alphaproteobacteria	pAACEN1	NZ_AP023411.1	AP023411	63.279	57.1185	65	-	-	-	69	4
Acetobacter aceti NBRC 14818	Bacteria	Proteobacteria	Alphaproteobacteria	pAACEN2	NZ_AP023412.1	AP023412	25.755	56.7307	34	-	-	-	38	4
Acetobacter aceti NBRC 14818	Bacteria	Proteobacteria	Alphaproteobacteria	pAACEN3	NZ_AP023413.1	AP023413	4.858	57.9662	8	-	-	-	8	-
Acetobacter aceti NBRC 14818	Bacteria	Proteobacteria	Alphaproteobacteria	pAACEN4	NZ_AP023414.1	AP023414	2.964	56.3765	5	-	-	-	5	-
Acetobacter ascendens	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed1	NZ_CP015165.1	CP015165	49.38	51.132	40	-	-	-	51	11
