#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Acholeplasma virus L2	46014		0	Other	Plasmaviridae	11.965	32	bacteria	 Unknown:NC_001447.1/L13696.1	14	14	1993/06/11	2020/12/20	Complete Genome
Pseudoalteromonas virus PM2	10661		0	Other	Corticoviridae	10.079	42.2	bacteria	 Unknown:NC_000867.1/AF155037.1	22	22	1999/07/13	2020/12/20	Complete Genome
Circular ssDNA virus sp.	2805939		0	unclassified viruses	unclassified	2.951	52.6	vertebrates	NC_030449.1/KU343138.1	3	3	2016/06/27	2018/08/25	Complete Genome
Mushroom bacilliform virus	32625		0	Other	Barnaviridae	4.009	46.3	fungi	 Unknown:NC_001633.1/U07551.1	4	4	1994/10/08	2018/08/13	Complete Genome
White spot syndrome virus	342409		0	Other	Nimaviridae	309.286	40.9	invertebrates	 Unknown:NC_003225.3/KT995472.1	177	177	2001/11/20	2018/08/14	Complete Genome
Heterosigma akashiwo RNA virus	324900		0	Other	Marnaviridae	8.587	46.9	-	 Unknown:NC_005281.1/AY337486.1	1	1	2003/07/23	2018/08/13	Complete Genome
Botrytis virus F	129395		0	Other	Gammaflexiviridae	6.827	53.4	fungi	 Unknown:NC_002604.1/AF238884.1	2	2	2000/10/14	2018/08/13	Complete Genome
Ostreid herpesvirus 1	261939		0	Other	Malacoherpesviridae	207.439	38.7	-	 Unknown:NC_005881.2/AY509253.2	127	127	2004/02/02	2018/08/13	Complete Genome
Human picobirnavirus	145856		0	Other	Picobirnaviridae	4.27	46.0452	human	 1:NC_007026.1/AB186897.1;  2:NC_007027.1/AB186898.1	3	3	2005/05/07	2018/08/13	Complete Genome
Satsuma dwarf virus	47416		0	Other	Secoviridae	12.138	47.2522	land plants	 RNA 1:NC_003785.2/AB009958.2;  RNA 2:NC_003786.2/AB009959.2	2	2	1999/04/06	2018/08/13	Complete Genome
Haloarcula hispanica virus SH1	326574		0	Other	Sphaerolipoviridae	30.889	68.4	archaea	 Unknown:NC_007217.1/AY950802.1	56	56	2005/07/05	2020/12/20	Complete Genome
Aurantiochytrium single-stranded RNA virus 01	674971		0	Other	Marnaviridae	9.035	49.7	-	 Unknown:NC_007522.1/AB193726.1	2	2	2005/10/29	2018/08/13	Complete Genome
Black raspberry necrosis virus	367301		0	Other	Secoviridae	13.945	47.0302	land plants	 RNA 1:NC_008182.1/DQ344639.1;  RNA 2:NC_008183.1/DQ344640.1	2	2	2006/05/25	2018/08/13	Complete Genome
Citrus leprosis virus C	347219		0	Other	Kitaviridae	13.731	41.7101	land plants	 RNA 1:NC_008169.1/DQ352194.1;  RNA 2:NC_008170.1/DQ352195.1	6	6	2006/04/24	2018/08/13	Complete Genome
White bream virus	405554		0	Other	Tobaniviridae	26.66	43.3	vertebrates	 Unknown:NC_008516.1/DQ898157.1	5	5	2006/10/07	2018/08/13	Complete Genome
Tomato torrado virus	370833		0	Other	Secoviridae	13.211	44.1182	land plants	 RNA 1:NC_009013.1/DQ388879.1;  RNA 2:NC_009032.1/DQ388880.1	3	3	2006/12/31	2018/08/13	Complete Genome
Acidianus bottle-shaped virus	437444		0	Other	Ampullaviridae	23.814	34.6	archaea	 Unknown:NC_009452.1/EF432053.1	57	57	2007/04/25	2020/12/20	Complete Genome
Pyrococcus abyssi virus 1	425386		0	unclassified viruses	unclassified	18.098	47.2	archaea	 Unknown:NC_009597.1/EF071488.1	25	25	2007/06/09	2020/12/20	Complete Genome
Marine RNA virus SOG	439014		0	Other	Other	4.449	51.7	-	 Unknown:NC_009756.1/EF198240.1	3	3	2007/07/15	2018/08/13	Complete Genome
Marine RNA virus JP-A	439015		0	Other	Marnaviridae	9.236	41.3	-	 Unknown:NC_009757.1/EF198241.1	2	2	2007/07/15	2018/08/13	Complete Genome
Marine RNA virus JP-B	439016		0	Other	Marnaviridae	8.926	37.6	-	 Unknown:NC_009758.1/EF198242.1	2	2	2007/07/15	2018/08/13	Complete Genome
Gill-associated virus	96491		0	Other	Roniviridae	26.253	46.2	invertebrates	 Unknown:NC_010306.1/AF227196.2	-	5	2000/07/13	2018/08/13	Complete Genome
Tomato marchitez virus	470166		0	Other	Secoviridae	12.135	42.0809	land plants	 RNA 1:NC_010987.1/EF681764.1;  RNA 2:NC_010988.1/EF681765.1	3	3	2007/12/14	2018/08/13	Complete Genome
Ourmia melon virus	186786		0	Other	Botourmiaviridae	4.852	51.5204	land plants	 RNA 1:NC_011068.1/EU770623.1;  RNA 2:NC_011069.1/EU770624.1;  RNA 3:NC_011070.1/EU770625.1	3	3	2008/07/05	2018/08/13	Complete Genome
Epirus cherry virus	544686		0	Other	Botourmiaviridae	4.757	53.0887	land plants	 RNA 1:NC_011065.1/EU770620.1;  RNA 2:NC_011066.1/EU770621.1;  RNA 3:NC_011067.1/EU770622.1	3	3	2008/07/05	2018/08/13	Complete Genome
Sputnik virophage	543939		0	Other	Lavidaviridae	18.343	27	protozoa	 Unknown:NC_011132.1/EU606015.1	21	21	2008/08/06	2020/12/20	Complete Genome
Poinsettia latent virus	305785		0	Other	Solemoviridae	4.652	45.8	land plants	 Unknown:NC_011543.1/AJ867490.1	4	4	2004/12/14	2018/08/13	Complete Genome
Midway nyavirus	644609		0	Other	Nyamiviridae	11.752	50.4	invertebrates	 Unknown:NC_012702.1/FJ554525.1	6	6	2009/05/18	2018/08/13	Complete Genome
Nyamanini nyavirus	644610		0	Other	Nyamiviridae	11.631	52.3	invertebrates	 Unknown:NC_012703.1/FJ554526.1	6	6	2009/05/18	2018/08/13	Complete Genome
Vibrio phage douglas 12A4	573171	PRJNA39215	39215	Other	Podoviridae	57.611	39	bacteria	 Unknown:NC_021068.1/HQ316580.1	75	75	2013/03/11	2020/12/20	Complete Genome
Vibrio phage helene 12B3	573173	PRJNA39217	39217	Other	Myoviridae	135.982	37.6	bacteria	 Unknown:NC_021067.1/HQ316579.1	265	263	2013/03/11	2020/12/20	Complete Genome
Vibrio phage martha 12B12	573175	PRJNA39219	39219	Other	Myoviridae	33.277	45.8	bacteria	 Unknown:NC_021070.1/HQ316581.1	51	51	2013/03/11	2020/12/20	Complete Genome
Wheat yellow dwarf virus-GPV	572239		0	Other	Luteoviridae	5.673	49.5	land plants	 Unknown:NC_012931.1/FM865413.1	7	7	2009/07/07	2018/08/13	Complete Genome
Salivirus NG-J1	651733		0	Other	Picornaviridae	7.982	56.7	human,vertebrates	 Unknown:NC_012957.1/GQ179640.3	1	1	2009/06/17	2018/08/13	Complete Genome
Drosophila A virus	595895		0	Other	Other	4.806	47.6	invertebrates	 Unknown:NC_012958.1/FJ150422.1	2	2	2009/07/09	2018/08/13	Complete Genome
Kalanchoe latent virus	132477		0	Other	Betaflexiviridae	8.517	46	land plants	 Unknown:NC_013006.1/FJ531634.1	7	7	2009/07/12	2018/08/13	Complete Genome
Carrot yellow leaf virus	656190		0	Other	Closteroviridae	16.354	45.1	land plants	 Unknown:NC_013007.1/FJ869862.1	10	10	2009/07/11	2018/08/13	Complete Genome
Sclerotinia sclerotiorum partitivirus S	659497		0	Other	Partitiviridae	3.726	44.145	fungi	 RNA 1:NC_013014.1/GQ280377.1;  RNA 2:NC_013015.1/GQ280378.1	2	2	2009/07/21	2018/08/13	Complete Genome
